group,ga_weeks,p3,p5,p10,p50,p90,p95,p97
white,10,23,23,25,29,35,37,38
white,11,31,32,33,39,46,48,49
white,12,42,43,45,52,60,63,65
white,13,55,57,59,68,78,82,84
white,14,72,73,76,88,101,105,108
white,15,92,94,98,113,129,135,138
white,16,116,119,124,143,164,170,175
white,17,146,150,156,179,205,213,219
white,18,181,186,193,222,255,265,272
white,19,222,228,237,273,313,325,334
white,20,271,278,289,332,381,396,407
white,21,327,335,349,401,460,479,491
white,22,391,401,417,479,551,573,588
white,23,464,476,495,569,654,681,698
white,24,546,560,583,671,771,803,824
white,25,638,655,682,785,903,940,964
white,26,741,760,791,911,1050,1092,1121
white,27,854,876,912,1052,1212,1262,1295
white,28,977,1003,1045,1205,1391,1449,1487
white,29,1111,1141,1188,1373,1587,1653,1697
white,30,1255,1289,1343,1555,1799,1875,1926
white,31,1409,1447,1509,1750,2029,2116,2174
white,32,1571,1615,1686,1958,2276,2374,2441
white,33,1741,1790,1869,2178,2537,2649,2724
white,34,1914,1969,2058,2404,2809,2936,3021
white,35,2086,2148,2247,2634,3088,3230,3326
white,36,2254,2323,2432,2862,3368,3527,3635
white,37,2413,2489,2609,3084,3645,3822,3942
white,38,2562,2645,2777,3299,3918,4114,4246
white,39,2701,2790,2934,3505,4186,4402,4548
white,40,2826,2924,3080,3702,4450,4688,4850
black,10,22,22,24,28,34,35,37
black,11,30,31,33,38,45,47,48
black,12,42,43,45,52,60,62,64
black,13,56,57,59,68,78,81,83
black,14,73,74,77,89,101,105,108
black,15,93,96,99,114,130,135,138
black,16,118,121,126,144,164,171,175
black,17,147,151,157,180,206,214,219
black,18,182,186,194,222,254,264,271
black,19,222,228,236,271,311,323,331
black,20,268,275,286,328,376,391,401
black,21,321,329,342,393,451,469,481
black,22,381,390,406,467,536,558,572
black,23,448,460,478,550,633,658,676
black,24,524,538,559,644,742,772,792
black,25,609,625,650,749,864,899,923
black,26,703,722,751,867,1000,1041,1069
black,27,807,828,863,996,1151,1199,1231
black,28,921,946,985,1139,1317,1372,1409
black,29,1044,1073,1118,1294,1498,1562,1604
black,30,1178,1210,1262,1463,1695,1768,1816
black,31,1321,1358,1416,1644,1908,1990,2045
black,32,1472,1513,1579,1836,2135,2228,2290
black,33,1629,1676,1749,2038,2373,2478,2548
black,34,1789,1841,1923,2244,2619,2737,2816
black,35,1948,2005,2096,2452,2868,2999,3087
black,36,2101,2164,2264,2655,3115,3259,3356
black,37,2249,2317,2427,2855,3359,3517,3624
black,38,2394,2468,2587,3054,3605,3779,3896
black,39,2541,2621,2751,3260,3863,4053,4182
black,40,2693,2781,2922,3479,4142,4352,4494
hispanic,10,19,20,21,26,31,33,34
hispanic,11,28,28,30,36,42,44,46
hispanic,12,38,39,41,48,57,59,61
hispanic,13,51,53,55,64,75,79,81
hispanic,14,68,70,73,85,98,103,106
hispanic,15,88,90,94,109,127,133,136
hispanic,16,112,115,120,140,162,169,174
hispanic,17,141,145,151,176,204,213,219
hispanic,18,175,180,188,218,254,265,272
hispanic,19,215,221,230,268,312,325,334
hispanic,20,260,268,279,325,379,395,407
hispanic,21,313,322,336,391,456,476,489
hispanic,22,372,383,400,466,544,568,584
hispanic,23,440,453,473,551,643,672,691
hispanic,24,516,531,555,647,755,789,812
hispanic,25,601,619,646,755,882,921,948
hispanic,26,696,716,749,875,1023,1069,1100
hispanic,27,801,825,862,1009,1180,1234,1270
hispanic,28,917,944,987,1156,1353,1415,1457
hispanic,29,1043,1074,1123,1316,1543,1614,1662
hispanic,30,1178,1214,1270,1490,1749,1830,1885
hispanic,31,1324,1364,1428,1677,1971,2063,2126
hispanic,32,1478,1523,1595,1877,2209,2313,2384
hispanic,33,1638,1688,1769,2086,2460,2577,2657
hispanic,34,1801,1857,1947,2301,2719,2851,2940
hispanic,35,1963,2025,2125,2518,2983,3130,3229
hispanic,36,2120,2189,2298,2731,3245,3408,3517
hispanic,37,2269,2344,2463,2937,3502,3681,3802
hispanic,38,2410,2491,2621,3138,3756,3953,4086
hispanic,39,2545,2633,2774,3336,4011,4226,4372
hispanic,40,2675,2770,2923,3534,4273,4510,4670
asian,10,18,19,20,24,30,31,33
asian,11,26,27,28,34,41,43,44
asian,12,36,38,39,47,55,58,60
asian,13,50,51,53,63,74,77,79
asian,14,66,68,71,83,97,101,104
asian,15,86,88,92,108,125,131,135
asian,16,110,113,118,138,160,167,172
asian,17,139,143,149,173,202,211,216
asian,18,172,177,185,215,250,261,269
asian,19,211,217,227,264,307,321,330
asian,20,257,264,275,320,373,389,400
asian,21,308,317,331,385,447,467,480
asian,22,367,378,394,458,532,556,571
asian,23,434,446,466,541,628,656,674
asian,24,509,524,546,634,737,769,790
asian,25,594,611,637,740,859,896,921
asian,26,690,709,740,859,997,1040,1069
asian,27,796,818,853,990,1149,1199,1232
asian,28,913,938,978,1136,1318,1375,1413
asian,29,1039,1068,1114,1293,1501,1566,1609
asian,30,1175,1208,1260,1463,1698,1772,1821
asian,31,1318,1355,1414,1642,1908,1991,2047
asian,32,1467,1508,1574,1830,2129,2222,2284
asian,33,1620,1667,1740,2026,2360,2464,2534
asian,34,1778,1829,1911,2229,2600,2717,2795
asian,35,1938,1995,2085,2438,2851,2980,3067
asian,36,2100,2162,2262,2653,3111,3255,3352
asian,37,2259,2327,2437,2869,3376,3536,3644
asian,38,2408,2483,2604,3077,3637,3814,3933
asian,39,2539,2621,2752,3269,3884,4078,4210
asian,40,2643,2731,2873,3434,4105,4318,4462
