sex,ga_weeks,p2_5,p5,p10,p25,p50,p75,p90,p95,p97_5
combined,14,70,73,78,83,90,98,104,109,113
combined,15,89,93,99,106,114,124,132,138,144
combined,16,113,117,124,133,144,155,166,174,181
combined,17,141,146,155,166,179,193,207,217,225
combined,18,174,181,192,206,222,239,255,268,278
combined,19,214,223,235,252,272,292,313,328,340
combined,20,260,271,286,307,330,355,380,399,413
combined,21,314,327,345,370,398,428,458,481,497
combined,22,375,392,412,443,476,512,548,575,595
combined,23,445,465,489,525,565,608,650,682,705
combined,24,523,548,576,618,665,715,765,803,830
combined,25,611,641,673,723,778,836,894,938,970
combined,26,707,743,780,838,902,971,1038,1087,1125
combined,27,813,855,898,964,1039,1118,1196,1251,1295
combined,28,929,977,1026,1102,1189,1279,1368,1429,1481
combined,29,1053,1108,1165,1251,1350,1453,1554,1622,1682
combined,30,1185,1247,1313,1410,1523,1640,1753,1828,1897
combined,31,1326,1394,1470,1579,1707,1838,1964,2046,2126
combined,32,1473,1548,1635,1757,1901,2047,2187,2276,2367
combined,33,1626,1708,1807,1942,2103,2266,2419,2516,2619
combined,34,1785,1872,1985,2134,2312,2492,2659,2764,2880
combined,35,1948,2038,2167,2330,2527,2723,2904,3018,3148
combined,36,2113,2205,2352,2531,2745,2959,3153,3277,3422
combined,37,2280,2372,2537,2733,2966,3195,3403,3538,3697
combined,38,2446,2536,2723,2935,3186,3432,3652,3799,3973
combined,39,2612,2696,2905,3135,3403,3664,3897,4058,4247
combined,40,2775,2849,3084,3333,3617,3892,4135,4312,4515
female,14,,73,77,82,89,96,102,107,
female,15,,92,97,104,113,121,129,135,
female,16,,116,122,131,141,152,162,170,
female,17,,145,152,164,176,189,202,211,
female,18,,180,188,202,217,233,248,261,
female,19,,221,231,248,266,285,304,319,
female,20,,269,281,302,322,346,369,387,
female,21,,324,339,364,388,417,444,466,
female,22,,388,405,435,464,499,530,557,
female,23,,461,481,516,551,592,629,660,
female,24,,542,567,608,649,697,740,776,
female,25,,634,663,710,758,815,865,907,
female,26,,735,769,823,880,946,1003,1051,
female,27,,846,886,948,1014,1090,1156,1210,
female,28,,967,1013,1083,1160,1247,1323,1383,
female,29,,1096,1150,1230,1319,1418,1505,1570,
female,30,,1234,1296,1386,1489,1601,1699,1770,
female,31,,1379,1451,1553,1670,1796,1907,1984,
female,32,,1530,1614,1728,1861,2002,2127,2209,
female,33,,1687,1783,1911,2060,2217,2358,2445,
female,34,,1847,1957,2101,2268,2440,2598,2690,
female,35,,2008,2135,2296,2481,2669,2846,2943,
female,36,,2169,2314,2494,2698,2902,3099,3201,
female,37,,2329,2493,2695,2917,3138,3357,3462,
female,38,,2484,2670,2896,3136,3373,3616,3725,
female,39,,2633,2843,3096,3354,3605,3875,3988,
female,40,,2775,3010,3294,3567,3832,4131,4247,
male,14,,75,79,84,92,99,105,109,
male,15,,96,100,107,116,126,134,139,
male,16,,121,127,136,146,158,169,175,
male,17,,152,158,170,183,197,210,219,
male,18,,188,196,210,226,243,260,271,
male,19,,232,241,258,277,298,320,333,
male,20,,282,293,314,337,362,389,405,
male,21,,341,354,380,407,436,469,489,
male,22,,408,424,454,487,522,561,586,
male,23,,484,503,539,578,619,666,695,
male,24,,570,592,635,681,730,785,818,
male,25,,666,692,742,795,853,917,956,
male,26,,772,803,860,923,990,1063,1109,
male,27,,888,924,989,1063,1141,1224,1276,
male,28,,1014,1055,1129,1215,1305,1399,1458,
male,29,,1149,1197,1281,1379,1482,1587,1654,
male,30,,1293,1349,1442,1555,1672,1788,1863,
male,31,,1445,1509,1613,1741,1874,2000,2085,
male,32,,1605,1677,1793,1937,2085,2224,2319,
male,33,,1770,1852,1980,2140,2306,2456,2562,
male,34,,1941,2032,2174,2350,2534,2694,2814,
male,35,,2114,2217,2372,2565,2767,2938,3072,
male,36,,2290,2404,2574,2783,3002,3185,3334,
male,37,,2466,2591,2777,3001,3238,3432,3598,
male,38,,2641,2778,2981,3218,3472,3676,3863,
male,39,,2813,2962,3183,3432,3701,3916,4125,
male,40,,2981,3142,3382,3639,3923,4149,4383,
